pigID,pigID_blind,age_days,age_days_edit,age_week,gender_cohort,Study_group,housing,sampling,biome_study,variableid,group,variable,amr_biome,indices,value,animal_prev,amr_prev
296,2,154,154,22,1,Breeder_sows,Gestation barn,1 day prior to moving to sows barn,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.843940435,1,1
389,7,154,154,22,1,Breeder_sows,Gestation barn,1 day prior to moving to sows barn,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.87235537,1,1
391,8,154,154,22,1,Breeder_sows,Gestation barn,1 day prior to moving to sows barn,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.319513401,1,1
388,,154,154,22,1,Breeder_sows,Gestation barn,1 day prior to moving to sows barn,no,plain.mac,MAC,No drug,No drug,plain.mac,6.485139227,1,1
394,,154,154,22,1,Breeder_sows,Gestation barn,1 day prior to moving to sows barn,no,plain.mac,MAC,No drug,No drug,plain.mac,6.669391965,1,1
363,3,154,154,22,2,Breeder_sows,Gestation barn,1 day prior to moving to sows barn,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.620543397,1,1
366,4,154,154,22,2,Breeder_sows,Gestation barn,1 day prior to moving to sows barn,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.731693849,1,1
369,5,154,154,22,2,Breeder_sows,Gestation barn,1 day prior to moving to sows barn,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.673987716,1,1
379,6,154,154,22,2,Breeder_sows,Gestation barn,1 day prior to moving to sows barn,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.811874623,1,1
361,,154,154,22,2,Breeder_sows,Gestation barn,1 day prior to moving to sows barn,no,plain.mac,MAC,No drug,No drug,plain.mac,6.671695919,1,1
370,,154,154,22,2,Breeder_sows,Gestation barn,1 day prior to moving to sows barn,no,plain.mac,MAC,No drug,No drug,plain.mac,6.556602118,1,1
365,,154,154,22,2,Breeder_sows,Gestation barn,1 day prior to moving to sows barn,no,plain.mac,MAC,No drug,No drug,plain.mac,6.721569976,1,1
372,,154,154,22,2,Breeder_sows,Gestation barn,1 day prior to moving to sows barn,no,plain.mac,MAC,No drug,No drug,plain.mac,6.775445357,1,1
362,,154,154,22,2,Breeder_sows,Gestation barn,1 day prior to moving to sows barn,no,plain.mac,MAC,No drug,No drug,plain.mac,6.739626389,1,1
367,,154,154,22,2,Breeder_sows,Gestation barn,1 day prior to moving to sows barn,no,plain.mac,MAC,No drug,No drug,plain.mac,6.848552455,1,1
373,,154,154,22,2,Breeder_sows,Gestation barn,1 day prior to moving to sows barn,no,plain.mac,MAC,No drug,No drug,plain.mac,6.847020551,1,1
368,,154,154,22,2,Breeder_sows,Gestation barn,1 day prior to moving to sows barn,no,plain.mac,MAC,No drug,No drug,plain.mac,6.747416633,1,1
292,1,224,224,32,1,Breeder_sows,Breeding barn,At first mating – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.845483224,1,1
296,2,224,224,32,1,Breeder_sows,Breeding barn,At first mating – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.655305503,1,1
389,7,224,224,32,1,Breeder_sows,Breeding barn,At first mating – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.87235537,1,1
391,8,224,224,32,1,Breeder_sows,Breeding barn,At first mating – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.900384094,1,1
388,,224,224,32,1,Breeder_sows,Breeding barn,At first mating – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.87235537,1,1
394,,224,224,32,1,Breeder_sows,Breeding barn,At first mating – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.696264111,1,1
363,3,224,224,32,2,Breeder_sows,Breeding barn,At first mating – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.805167239,1,1
366,4,224,224,32,2,Breeder_sows,Breeding barn,At first mating – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.696264111,1,1
369,5,224,224,32,2,Breeder_sows,Breeding barn,At first mating – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.737656796,1,1
379,6,224,224,32,2,Breeder_sows,Breeding barn,At first mating – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.829803019,1,1
361,,224,224,32,2,Breeder_sows,Breeding barn,At first mating – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.889388709,1,1
370,,224,224,32,2,Breeder_sows,Breeding barn,At first mating – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.857632113,1,1
365,,224,224,32,2,Breeder_sows,Breeding barn,At first mating – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.71745341,1,1
372,,224,224,32,2,Breeder_sows,Breeding barn,At first mating – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.810207463,1,1
362,,224,224,32,2,Breeder_sows,Breeding barn,At first mating – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.691899306,1,1
367,,224,224,32,2,Breeder_sows,Breeding barn,At first mating – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.696264111,1,1
373,,224,224,32,2,Breeder_sows,Breeding barn,At first mating – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.673987716,1,1
368,,224,224,32,2,Breeder_sows,Breeding barn,At first mating – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.850078975,1,1
292,1,343,343,49,1,Breeder_sows,Breeding barn,1 week prior to moving to farrowing house – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.696264111,1,1
296,2,343,343,49,1,Breeder_sows,Breeding barn,1 week prior to moving to farrowing house – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.842392147,1,1
389,7,343,343,49,1,Breeder_sows,Breeding barn,1 week prior to moving to farrowing house – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.886595809,1,1
391,8,343,343,49,1,Breeder_sows,Breeding barn,1 week prior to moving to farrowing house – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.875241058,1,1
388,,343,343,49,1,Breeder_sows,Breeding barn,1 week prior to moving to farrowing house – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.834566809,1,1
394,,343,343,49,1,Breeder_sows,Breeding barn,1 week prior to moving to farrowing house – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.756961951,1,1
363,3,343,343,49,2,Breeder_sows,Breeding barn,1 week prior to moving to farrowing house – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.65050662,1,1
366,4,343,343,49,2,Breeder_sows,Breeding barn,1 week prior to moving to farrowing house – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.687490187,1,1
369,5,343,343,49,2,Breeder_sows,Breeding barn,1 week prior to moving to farrowing house – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.709101336,1,1
379,6,343,343,49,2,Breeder_sows,Breeding barn,1 week prior to moving to farrowing house – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.7844002,1,1
361,,343,343,49,2,Breeder_sows,Breeding barn,1 week prior to moving to farrowing house – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.71745341,1,1
370,,343,343,49,2,Breeder_sows,Breeding barn,1 week prior to moving to farrowing house – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.803474081,1,1
365,,343,343,49,2,Breeder_sows,Breeding barn,1 week prior to moving to farrowing house – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.900384094,1,1
372,,343,343,49,2,Breeder_sows,Breeding barn,1 week prior to moving to farrowing house – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.842392147,1,1
362,,343,343,49,2,Breeder_sows,Breeding barn,1 week prior to moving to farrowing house – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.683035845,1,1
367,,343,343,49,2,Breeder_sows,Breeding barn,1 week prior to moving to farrowing house – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.660051938,1,1
373,,343,343,49,2,Breeder_sows,Breeding barn,1 week prior to moving to farrowing house – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.859127104,1,1
